# Accelerometer Data File
# Started @Mon Jul 18 22:10:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.493 0.049 -2.144 10
0.335 0.139 -2.697 11
0.19 -4.046 -7.917 9
-0.983 -2.142 -5.824 11
-0.73 0.623 -1.802 9
0.566 0.879 -1.346 11
0.725 0.688 -1.729 9
-0.26 1.55 -1.435 11
-0.717 2.076 -1.128 10
-1.067 1.765 -1.222 10
-1.34 1.002 -1.565 10
-1.352 -0.433 -1.71 10
-0.372 -2.829 -1.815 9
-0.594 -3.123 -1.883 11
-1.232 -1.389 -2.169 9
-1.342 -0.5 -3.254 11
-1.69 -0.036 -3.945 10
-1.504 0.147 -3.404 10
-0.974 -0.513 -2.753 10
-0.842 -1.186 -3.288 9
-0.689 -1.412 -4.08 10
-0.577 -1.383 -5.318 11
-0.519 -1.348 -4.786 10
0.195 -0.885 -4.506 10
1.115 -0.642 -4.141 9
1.478 -1.198 -4.546 10
1.287 -2.207 -5.082 10
1.21 -2.624 -4.79 10
1.416 -2.207 -4.776 10
1.74 -1.107 -4.66 10
2.023 -0.143 -4.815 10
2.363 -0.146 -4.514 10
3.015 -1.338 -3.434 10
3.722 -2.505 -3.22 10
4.97 -2.918 -2.355 10
5.99 -2.851 -1.904 10
6.899 -2.324 -1.653 10
7.924 -1.764 -1.703 10
8.442 -0.278 -1.007 10
9.011 0.74 -0.156 10
9.024 -0.539 -1.071 10
7.889 -0.727 -0.145 10
7.419 -0.37 0.42 10
6.625 -0.367 0.317 10
6.169 -1.494 1.242 10
6.173 -2.594 2.385 10
5.987 -2.292 2.681 10
5.448 -1.623 2.421 10
4.886 -1.504 2.515 10
4.061 -0.871 1.531 10
2.56 -0.921 1.895 10
1.227 -1.226 2.516 10
0.328 -1.043 2.531 10
-0.453 -1.016 2.718 10
-0.865 -1.423 2.748 10
-0.882 -1.401 2.111 10
-1.138 -1.364 2.158 10
-1.679 -1.193 2.778 10
-1.675 -1.014 2.475 10
-1.852 -0.654 1.701 10
-2.064 -0.226 0.833 10
-2.469 0.235 0.517 10
-2.938 0.642 0.353 10
-3.307 0.906 0.24 10
-3.554 0.987 0.337 10
-3.311 0.958 0.665 10
-3.005 0.948 0.59 10
-2.576 0.948 0.315 11
-2.12 0.603 0.129 10
-1.787 0.198 -0.409 10
-1.574 -0.062 -0.618 9
-1.339 0.236 -1.151 10
-0.869 0.79 -0.717 10
-0.601 0.926 -1.024 10
-0.446 1.023 -1.396 10
-0.134 1.059 -1.446 10
-0.086 0.979 -2.361 10
-0.491 1.441 -3.47 10
-0.606 1.521 -1.08 10
-0.373 1.334 0.035 10
-0.878 1.106 0.29 10
-1.575 0.633 0.468 10
-1.159 0.26 0.697 10
-0.784 -0.429 -0.001 11
-1.706 -1.17 -0.475 10
-2.992 -1.407 -0.427 9
-3.365 -1.593 0.046 11
-3.787 -0.874 0.075 10
-1.227 -1.786 1.447 10
-1.105 -0.513 1.302 9
0.6 2.494 1.077 11
0.212 1.055 1.711 19
-0.231 1.553 2.082 11
-0.535 1.88 2.029 9
-0.051 2.037 1.507 10
0.557 1.583 1.374 10
0.036 1.226 1.504 10
-0.751 0.268 0.853 10
-0.779 0.163 0.768 10
0.168 -0.162 -0.178 10
1.97 0.086 -0.971 10
1.394 -0.999 -1.71 10
2.556 -2.554 -2.211 11
2.3 -2.299 -3.024 9
1.553 -6.353 -4.997 11
-0.187 -5.717 0.923 9
0.132 -0.741 0.951 10
0.688 -4.821 2.149 10
1.963 -4.787 1.865 11
2.543 -5.869 1.334 9
1.823 -5.015 1.838 10
1.011 -3.884 0.637 10
-0.304 -2.668 -0.512 10
-1.549 -1.229 -2.313 10
-0.808 -0.684 -2.685 10
0.935 -0.451 -2.029 10
1.41 -0.536 -1.878 11
1.287 0.224 -1.147 9
1.149 1.839 0.424 10
0.414 2.672 1.665 10
-2.109 1.87 1.499 10
-3.803 0.623 0.444 10
-4.086 0.569 0.184 10
-4.255 1.392 -0.04 10
-4.235 0.235 1.195 11
-4.854 -0.416 1.222 9
-5.455 -0.289 -0.502 10
-6.159 -0.406 -1.193 10
-6.379 -0.15 -0.108 10
-5.689 0.898 -0.218 11
-4.396 1.101 -0.886 9
-3.319 1.414 -1.883 10
-2.565 1.712 -2.367 10
-1.817 1.394 -2.13 10
-0.161 1.341 -1.667 11
1.673 -0.266 -0.587 9
3.445 -0.61 -0.787 10
5.996 0.398 -1.682 11
7.138 1.901 -3.281 9
7.527 3.461 -4.823 11
6.654 2.399 -3.901 9
5.566 0.909 -2.597 10
5.725 -0.112 0.618 10
6.1 -0.497 0.694 10
6.223 -0.025 -0.392 11
5.126 2.054 -1.344 9
3.528 1.09 0.238 10
3.209 0.248 0.317 10
-1.179 2.826 -0.032 10
-4.905 1.553 -0.124 11
-2.484 -2.851 0.491 10
-2.494 -5.514 1.683 9
-4.796 -5.247 4.523 10
-5.083 -2.938 4.062 10
-3.782 0.38 0.76 10
-3.404 -0.045 -1.548 11
-3.718 -1.591 -2.229 9
-3.096 -2.294 -1.463 10
-2.227 -2.616 -0.869 10
-2.366 -1.751 0.95 10
-2.56 -0.585 1.156 11
-1.968 -0.501 1.48 10
-1.599 -0.416 2.953 9
-1.637 0.004 2.744 11
0.043 -0.918 2.624 9
0.487 -2.239 1.069 10
1.188 -1.369 -0.537 10
2.198 -2.542 -2.526 10
2.228 -2.443 -2.454 10
1.505 -2.406 -0.993 10
0.493 -2.38 -0.42 10
-1.021 -1.849 -0.102 10
-1.944 -2.621 -0.135 11
-0.733 -1.876 0.24 10
1.253 -1.37 -0.731 10
1.645 -0.19 -1.167 10
0.291 0.897 -0.542 10
0.046 0.609 -0.41 10
-0.785 0.91 0.087 10
-2.973 1.974 -0.076 10
-4.486 2.707 1.879 10
-5.02 1.868 2.535 10
-3.768 1.336 1.454 9
-2.262 1.263 0.473 10
-0.157 1.369 0.012 10
0.78 1.258 -0.506 10
0.918 1.425 0.044 10
-0.139 1.843 0.272 10
-1.03 2.779 0.047 10
-1.202 -0.601 1.697 10
-1.617 -0.118 2.027 11
-0.757 0.246 1.704 9
0.413 -0.183 1.033 10
1.492 0.524 0.413 10
2.394 1.015 0.259 10
2.663 -0.37 0.337 11
3.423 0.511 0.251 9
3.089 2.554 2.407 10
1.746 3.453 -0.47 11
-0.014 0.79 -2.63 10
-0.771 -2.788 0.951 10
-0.392 -6.362 5.027 10
1.732 -5.846 5.016 10
2.834 -4.365 3.85 10
3.137 -4.782 0.173 9
4.314 -3.364 -2.378 11
3.831 -2.769 -2.803 9
1.819 -2.13 -0.756 10
-0.077 -0.366 1.353 10
-0.337 -0.674 2.605 10
-0.984 -0.986 4.172 11
-2.359 -2.706 -0.554 9
-3.313 -3.521 -8.454 10
-3.171 -2.212 -9.996 11
-3.052 0.49 -5.635 10
-3.092 2.837 -0.814 10
-2.42 2.519 -0.387 10
-1.816 1.888 1.538 10
-1.79 3.001 2.858 10
-2.645 4.631 0.4 9
-4.053 4.297 -0.242 11
-5.181 3.824 -1.356 9
-5.318 3.502 -2.858 11
-4.847 2.721 -2.546 9
-3.741 1.57 -2.559 11
-2.169 0.422 -1.613 10
-1.961 -0.49 2.917 10
-0.463 -6.362 9.65 10
0.341 -11.173 10.012 10
1.065 -10.823 -0.762 10
3.992 -9.741 -18.889 10
4.912 -8.767 -15.777 10
2.826 -7.89 -3.744 10
-0.283 -2.972 1.965 10
-2.151 3.693 4.897 10
-2.685 7.668 4.95 10
-1.288 10.013 4.783 10
-0.116 8.684 7.476 10
-0.07 8.41 6.453 10
-0.356 8.112 1.748 10
-0.268 7.292 -0.891 10
-0.793 5.675 -2.112 10
-1.989 4.056 -2.556 10
-3.092 2.625 -2.248 10
-4.248 1.509 -2.584 10
-4.504 1.203 -2.558 10
-3.916 1.22 -1.682 10
-2.826 1.253 -1.048 10
-1.897 0.964 -0.926 10
-1.38 0.92 -1.643 10
-1.311 1.336 -2.867 10
-0.929 1.504 -3.451 10
-0.664 1.595 -3.58 10
-0.468 1.177 -4.109 10
0.043 -0.397 -4.388 10
1.573 -2.486 -3.13 10
3.105 -5.728 -1.197 10
5.423 -10.982 1.508 10
7.639 -12.736 4.598 10
5.522 -11.463 -4.61 10
2.892 -10.316 -15.302 10
-1.568 -8.466 -13.53 10
-3.281 -1.534 -8.161 10
-3.281 2.282 -2.931 10
-3.021 3.855 1.912 10
-2.788 3.762 5.177 10
-2.242 3.265 8.167 10
-1.277 2.551 10.462 10
-0.83 1.373 9.864 10
-0.833 0.814 7.946 10
-0.793 0.077 6.6 10
-0.748 -0.326 5.664 10
-0.466 -1.259 4.762 10
0.01 -1.831 3.036 10
2.267 -2.596 -1.352 10
2.541 0.085 0.006 10
1.425 2.877 2.867 10
0.894 3.339 4.433 10
0.71 2.402 3.412 10
0.337 1.076 1.287 10
-0.264 -0.229 0.115 10
-0.626 -1.516 0.716 10
-0.77 -2.967 2.6 10
-0.917 -3.955 3.599 9
-0.894 -4.094 3.635 10
-0.46 -3.831 3.47 11
0.059 -2.844 3.649 9
0.182 -1.258 2.551 11
0.009 1.004 1.176 10
-0.129 3.05 0.118 10
-0.297 4.494 -0.668 10
-0.431 5.019 -1.162 10
-0.724 4.439 -1.382 10
-0.789 3.289 -1.502 10
-0.59 1.581 -1.205 10
-0.341 0.25 -1.102 10
-0.428 -1.11 -1.017 10
-0.385 -1.671 -0.907 10
-0.234 -1.728 -0.687 10
0.09 -1.21 -0.48 10
0.65 -0.693 0.049 10
1.197 -0.494 -0.265 10
2.103 -0.574 -1.773 10
2.642 -0.508 -1.423 10
2.611 -0.061 -0.918 10
2.436 0.444 -0.706 10
2.287 0.693 -0.532 10
1.489 0.055 -0.237 10
0.651 -0.622 0.07 10
0.198 -0.422 -0.427 10
-0.114 -0.276 -1.359 10
-0.327 -0.611 -1.904 10
0.093 -0.946 -0.972 10
1.532 -0.756 1.021 10
2.283 -0.853 2.651 10
2.443 -1.026 2.739 10
2.44 -0.872 1.914 10
2.454 -0.457 1.127 10
2.519 0.122 0.084 10
2.431 0.791 -1.061 10
2.24 0.953 -1.274 10
2.041 0.573 -0.586 10
1.156 -0.406 0.359 10
0.489 -0.761 0.737 10
0.225 -0.539 0.379 10
-0.271 -0.407 -0.951 10
