# Accelerometer Data File
# Started @Wed Jul 20 22:05:41 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.017 5.567 6.429 0
-0.308 5.105 5.218 10
-0.484 4.991 4.273 10
-0.505 4.673 3.57 10
-0.411 3.956 3.248 10
-0.396 3.259 2.587 10
0.134 2.803 1.664 10
0.276 2.161 1.575 9
0.11 1.979 1.78 11
0.306 2.169 1.964 10
0.181 1.935 1.931 10
-0.017 1.517 1.996 9
-0.11 1.426 2.124 11
-0.134 1.473 2.093 10
-0.181 1.403 1.815 10
-0.275 1.211 1.409 9
-0.29 1.081 1.311 11
-0.356 1.068 1.318 10
-0.2 1.142 1.014 9
-0.007 0.942 1.119 10
0.139 0.718 1.136 10
0.211 0.62 0.824 10
0.225 0.61 0.837 11
0.211 0.618 1.037 10
0.259 0.616 1.339 10
0.276 0.563 1.688 10
0.326 0.386 1.924 10
0.422 0.192 2.033 9
0.518 0.242 1.907 11
0.682 0.425 1.536 9
0.751 0.46 1.132 11
0.719 0.371 0.812 10
0.613 0.342 0.429 10
0.526 0.351 0.127 10
0.387 0.35 0.046 10
0.314 0.47 0.119 9
0.325 0.501 0.279 11
0.336 0.485 0.424 10
0.38 0.402 0.476 9
0.411 0.302 0.601 11
0.43 0.151 0.859 10
0.439 0.049 0.972 9
0.403 -0.032 0.909 11
0.328 -0.115 0.758 10
0.278 -0.129 0.578 10
0.156 -0.134 0.21 10
-0.057 -0.051 -0.654 10
-0.164 -0.218 -1.235 10
