# Accelerometer Data File
# Started @Mon Jul 18 22:21:11 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.69 -0.186 1.791 10
0.397 -0.115 1.69 11
0.142 -0.164 1.469 10
-0.035 -0.208 1.21 10
-0.101 -0.23 0.693 10
-0.047 -0.328 0.166 9
0.051 -0.433 -0.254 10
0.253 -0.493 -0.548 11
0.478 -0.521 -0.898 10
0.594 -0.59 -1.256 10
0.577 -0.729 -1.432 9
0.373 -0.777 -1.453 10
0.301 -0.733 -1.592 11
0.314 -0.755 -1.51 10
0.429 -0.783 -1.566 10
0.524 -0.791 -1.633 9
0.532 -0.841 -1.574 10
0.505 -0.851 -1.511 11
0.299 -0.758 -1.472 10
0.321 -0.69 -1.437 9
0.34 -0.561 -1.905 10
0.289 -0.453 -2.171 11
0.088 -0.184 -2.109 9
-0.162 -0.079 -2.157 10
-0.232 -0.373 -2.208 11
-0.622 -0.051 -2.703 10
-0.836 0.703 -2.639 9
-0.899 0.658 -1.962 11
-0.783 0.334 -1.757 9
-0.739 0.447 -1.46 11
-0.811 0.807 -0.961 9
-0.687 1.063 -0.589 11
-0.584 1.051 -0.263 10
-0.491 0.981 -0.047 10
-0.356 0.934 0.509 9
-0.156 0.927 0.854 10
0.091 0.972 0.915 10
0.341 0.849 0.987 11
0.332 0.566 1.432 9
0.256 0.561 1.556 11
0.101 0.746 1.434 9
-0.132 0.947 1.524 10
-0.334 1.051 1.526 10
-0.491 1.239 1.589 11
-0.51 1.347 1.654 10
-0.356 1.178 1.747 9
-0.286 0.871 1.926 10
-0.18 0.585 2.001 10
-0.231 0.372 2.145 10
-0.587 0.248 2.069 11
-0.743 0.206 2.086 9
-0.841 0.16 2.291 10
-0.878 0.135 2.303 11
-0.85 0.087 2.185 10
-0.541 0.052 2.113 9
-0.142 -0.004 1.669 10
0.026 -0.322 1.372 10
0.041 -0.497 0.735 11
0.114 -0.499 0.455 10
0.232 -0.544 0.056 9
0.183 -0.791 -0.328 10
0.19 -1.057 -0.769 11
0.077 -1.14 -0.787 10
0.138 -1.164 -0.932 9
0.21 -1.22 -1.046 10
0.198 -1.21 -1.329 10
0.143 -1.201 -1.222 10
0.163 -1.296 -1.212 10
0.225 -1.331 -1.539 10
0.185 -1.163 -1.919 11
0.037 -0.969 -2.227 9
-0.164 -1.062 -2.341 10
-0.216 -1.085 -2.632 10
-0.109 -0.847 -1.843 10
-0.115 -0.771 -2.029 11
-0.207 -0.599 -2.016 9
-0.1 -0.298 -2.03 10
-0.073 -0.371 -1.663 11
-0.332 -1.032 -1.617 10
-0.342 -1.239 -1.662 10
-0.394 -0.719 -1.496 9
-0.708 -0.75 -1.165 10
-0.844 -0.322 -0.73 11
-0.217 0.201 0.325 10
0.347 0.284 0.559 10
0.588 0.221 0.443 9
0.495 0.492 0.485 10
0.385 0.555 0.729 11
0.269 0.379 0.863 10
-0.007 -0.029 0.734 10
-0.411 0.309 0.764 9
-0.508 0.537 0.955 10
-0.173 0.518 0.911 10
0.309 0.397 0.923 11
0.459 0.521 1.244 10
0.456 0.693 1.99 9
0.652 0.813 2.714 11
0.94 0.766 3.304 10
1.087 0.698 3.629 9
1.022 0.887 3.473 11
0.902 0.764 3.143 10
1.053 0.092 2.802 10
2.086 -4.501 2.91 10
1.084 1.068 2.421 10
-0.084 3.754 0.937 10
0.363 1.258 -0.052 10
0.965 -0.668 0.142 10
1.11 -0.429 -0.362 10
1.162 -0.205 -0.18 10
1.408 -0.676 -0.394 10
1.56 -1.125 -0.338 9
1.413 -1.211 -0.39 11
1.289 -1.176 -0.997 10
0.962 -1.464 -1.613 10
0.667 -1.533 -1.995 10
0.661 -1.302 -2.743 10
0.758 -1.585 -2.822 10
0.726 -2.228 -2.342 9
0.136 -2.092 -1.944 11
-0.472 -0.477 -2.801 10
0.135 -1.076 -1.926 10
-0.274 -2.029 -1.526 10
-0.712 -1.722 -1.96 10
-0.718 -1.3 -2.083 10
-0.543 -1.592 -1.9 10
-0.411 -1.726 -2.184 10
0.344 -0.916 -3.25 10
0.801 -0.893 -3.175 9
0.738 -1.338 -2.211 11
1.19 -1.256 -1.904 9
1.062 -1.311 -2.101 11
0.008 -0.663 -1.986 10
-0.552 0.73 -1.692 10
-0.652 1.036 -0.428 10
-0.363 1.01 0.665 10
0.362 1.055 0.417 10
0.645 1.122 0.091 10
1.511 2.113 1.039 10
3.187 1.143 2.331 10
2.593 -0.642 3.529 10
2.17 -0.268 3.503 10
2.427 1.155 2.576 9
2.063 1.461 3.033 10
1.969 1.608 2.92 10
2.229 1.792 1.843 11
1.894 1.363 1.969 10
1.17 0.856 2.375 10
0.958 0.512 1.474 9
1.414 0.59 1.301 11
1.436 0.901 -1.086 10
0.672 3.087 -0.443 9
3.009 -0.445 0.677 11
3.95 -1.167 0.972 9
5.028 -0.094 1.193 11
4.577 0.458 1.729 10
3.258 0.481 1.754 9
2.613 0.062 2.01 11
2.688 0.297 1.636 10
2.427 0.431 1.455 10
1.883 0.06 1.034 10
1.729 -0.298 0.862 10
1.22 -0.432 0.319 10
0.684 -0.552 -0.333 10
0.211 -0.79 -0.972 10
-0.396 -0.806 -1.547 10
-0.813 -0.898 -2.056 10
-0.964 -0.842 -2.29 9
-0.988 -1.534 -2.009 11
-1.01 -1.475 -2.317 10
-0.616 -0.13 -1.042 10
0.091 1.322 -0.11 9
0.194 1.621 -0.659 11
-0.066 1.39 -0.706 10
-0.619 1.052 -0.747 9
-1.23 0.688 -1.095 11
-2.046 -0.147 -1.623 10
-2.591 -1.114 -2.047 10
-2.849 -1.417 -2.437 10
-2.737 -1.103 -2.408 10
-2.48 -0.587 -2.142 10
-2.31 -0.408 -2.177 10
-1.967 -0.522 -1.882 9
-1.804 -1.004 -1.789 11
-1.77 -1.283 -1.851 10
-1.8 -0.56 -1.649 10
-1.543 -0.047 -0.915 9
-1.173 0.112 -1.082 10
-0.849 0.204 -1.293 11
-0.729 0.296 -1.163 10
-0.596 0.206 -0.676 10
-0.286 0.375 -0.212 10
-0.025 0.751 0.118 9
0.063 0.305 0.382 10
0.694 -0.216 0.663 11
1.288 0.391 -0.118 10
1.315 1.403 0.126 10
1.157 1.84 0.794 10
1.102 1.743 0.878 10
1.112 1.577 0.937 10
1.225 1.471 1.205 9
1.284 1.22 1.352 11
1.362 1.029 1.846 10
1.346 1.125 2.109 9
1.186 1.081 1.993 10
1.188 0.473 1.742 11
1.397 -0.366 1.844 10
1.429 -0.321 2.159 10
1.235 0.339 2.322 9
1.249 0.504 2.211 10
1.271 0.22 1.524 11
1.169 0.509 1.208 10
0.664 0.682 1.449 10
-0.013 0.088 0.692 10
0.065 -0.963 0.295 10
0.136 -1.754 -0.061 9
0.226 -1.941 0.117 10
0.548 -1.79 0.476 10
0.803 -1.576 0.144 10
0.62 -1.341 -0.568 10
0.402 -1.534 -0.778 10
0.129 -1.657 -0.83 11
-0.202 -1.319 -0.91 10
-0.466 -0.868 -1.104 10
-0.54 -0.643 -1.7 10
-0.537 -0.553 -1.97 10
-0.716 -0.661 -1.574 10
-1.041 -0.699 -1.693 10
-1.566 -0.672 -1.946 10
-1.996 -0.941 -1.846 10
-2.201 -1.209 -1.782 10
-2.283 -1.114 -1.819 10
-2.253 -0.761 -1.896 10
-2.243 -0.555 -1.879 10
-2.424 -0.534 -1.691 10
-2.422 -0.636 -1.763 10
-2.404 -0.727 -1.862 10
-2.483 -0.732 -2.176 10
-2.26 -0.926 -2.372 10
-1.801 -1.006 -2.324 10
-1.587 -0.75 -2.238 10
-1.273 -0.442 -1.549 10
-0.706 -0.036 -0.886 10
-0.179 0.51 -0.642 10
0.235 0.528 -0.31 10
1.004 0.337 0.133 10
1.447 1.312 0.051 10
2.035 2.706 -0.419 10
2.047 2.823 -0.29 10
1.402 1.92 0.048 10
0.59 0.815 0.741 10
0.626 0.776 0.908 10
0.83 0.992 1.576 10
1.126 1.34 1.418 10
1.815 1.775 1.871 9
2.159 2.718 3.218 10
2.176 3.481 3.422 10
2.217 3.788 3.321 11
2.323 3.202 2.774 9
2.513 2.511 2.022 10
2.468 2.208 0.915 10
2.377 2.668 1.315 10
2.501 3.255 2.726 11
1.656 3.61 3.315 10
-0.457 3.542 2.553 10
-1.299 1.438 1.444 10
-1.419 -1.144 0.938 10
-1.389 -1.047 2.206 10
-1.405 -0.821 2.097 10
-1.661 -1.653 1.637 10
-2.012 -2.332 1.715 10
-1.837 -2.556 1.311 10
-1.11 -2.826 0.585 10
-2.929 -2.405 -1.033 10
-5.308 -1.958 -2.92 10
-6.846 -3.434 -5.137 10
-4.627 -2.72 -2.908 10
-1.294 -2.25 3.321 10
0.067 -2.542 2.989 10
-1.215 -2.365 3.664 10
-2.334 -2.448 0.643 10
-1.799 -2.47 -2.222 10
-4.679 -0.715 -4.534 10
-5.469 -0.341 -5.227 10
-4.052 -1.695 -4.937 10
-1.845 -4.128 -0.642 10
-1.514 -3.388 2.826 10
-1.923 -0.739 -0.516 10
-3.127 -1.105 -0.154 10
-2.297 -1.718 1.214 10
-2.188 -1.15 0.722 10
-1.348 -0.975 0.753 10
-1.127 -1.092 2.117 10
-2.359 -1.828 -0.007 10
-2.106 -1.447 -1.006 10
-1.93 -0.707 -0.768 10
-1.504 -0.662 -0.725 10
-1.13 -1.708 -0.179 10
-0.456 -3.623 0.864 10
-0.428 -3.399 5.294 10
-2.048 -2.421 4.42 10
-2.792 -2.161 3.323 10
-2.099 -2.445 3.456 10
-1.441 -3.528 2.498 10
-1.753 -3.597 2.283 10
-2.492 -2.548 2.891 10
-2.458 -1.802 3.153 10
-1.816 -1.88 2.734 10
-1.487 -2.054 2.547 10
-1.382 -2.392 1.404 10
-0.959 -2.859 0.661 10
-1.182 -3.444 -0.284 10
-1.271 -1.944 -0.453 10
-1.609 -0.199 -0.675 10
-1.034 -0.368 -0.996 10
-0.586 -0.297 0.206 10
0.066 -0.379 -0.012 10
0.697 -1.057 -0.372 10
0.481 -1.899 -0.189 10
-0.075 -2.071 -0.575 10
-0.601 -1.786 -0.802 10
-1.076 -0.901 -0.851 10
-1.416 -0.216 -0.904 10
-1.361 -0.47 -0.313 10
-2.104 -1.156 0.122 10
-1.911 -0.971 -0.311 10
-1.22 -0.926 -0.858 10
-1.804 -0.204 -2.332 10
-2.779 0.945 -3.659 10
-2.527 0.729 -3.526 10
-2.248 0.588 -3.88 10
-1.885 0.736 -3.871 10
-1.361 0.834 -3.923 10
-0.569 0.673 -4.591 10
0.797 0.072 -9.726 10
-0.239 0.875 -2.685 10
-1.094 -1.66 -7.528 10
-0.881 -0.615 -12.326 10
-1.345 2.937 -6.775 10
-0.521 6.228 8.33 10
0.591 4.08 5.868 10
-0.166 0.629 0.515 10
-0.692 -1.837 -0.079 10
-0.959 -2.895 -0.304 10
-0.242 -1.933 -2.342 10
0.927 -0.722 -2.47 10
1.671 0.917 -0.999 10
1.236 1.101 -0.838 10
0.501 0.715 -1.746 10
0.218 0.015 -1.002 10
-0.251 -0.787 -0.755 10
-0.666 -0.907 -0.749 10
-1.03 -1.635 -0.967 10
-1.289 -2.514 -1.31 10
-1.548 -2.444 -0.86 10
-1.927 -2.518 -0.179 10
-2.002 -3.051 -0.109 10
-1.741 -2.952 -0.297 10
-1.481 -2.597 -0.017 10
-1.109 -1.889 -0.222 10
-1.075 -1.157 -0.269 10
-1.278 -1.533 0.464 10
-2.081 -2.189 -0.012 10
-2.537 -2.126 -2.054 10
-1.869 -1.534 -2.348 10
-0.493 -2.027 -2.57 10
-1.107 -1.16 -1.201 10
-0.471 -2.492 -0.874 10
0.213 -1.967 0.109 10
1.011 -1.046 0.994 10
1.272 -0.114 1.67 10
0.248 0.215 1.219 10
-0.784 0.383 0.485 10
-0.516 -0.077 0.402 10
0.129 -1.396 0.094 10
0.487 -1.636 -0.207 10
0.843 -0.748 -0.824 10
1.061 0.076 -1.423 10
1.204 0.396 -1.685 10
1.222 0.235 -1.905 10
1.237 0.048 -1.912 10
1.493 -0.154 -1.962 10
1.869 -0.975 -2.232 10
1.467 0.346 -0.371 10
1.441 1.009 -0.859 10
1.633 2.003 -0.739 10
1.435 3.225 -0.846 10
