# Accelerometer Data File
# Started @Wed Jul 20 22:08:40 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.187 0.757 0.62 10
-0.039 0.578 0.55 10
0.171 0.485 0.451 10
0.283 0.54 0.725 10
0.401 0.762 1.118 10
0.378 0.875 1.42 10
0.056 0.96 1.829 10
-0.638 0.89 2.276 10
-0.842 0.56 2.376 10
-0.499 0.383 2.095 10
0.084 0.034 1.472 10
1.007 0.022 1.35 10
1.682 0.029 1.672 10
1.72 0.0 1.815 10
1.695 -0.163 2.383 10
1.517 -0.371 2.817 10
1.106 -0.541 2.863 10
0.625 -0.633 2.818 10
0.269 -0.613 2.579 10
0.148 -0.586 2.347 10
0.09 -0.544 1.992 10
0.081 -0.499 1.336 10
0.185 -0.543 0.633 10
0.27 -0.644 -0.17 11
0.199 -0.881 -0.895 9
0.352 -0.94 -1.064 10
0.377 -0.966 -1.612 10
0.486 -1.094 -1.804 10
0.523 -0.907 -2.244 10
0.54 -0.816 -2.675 10
0.443 -0.855 -2.847 10
0.442 -0.899 -3.01 10
0.57 -0.697 -3.261 10
0.616 -0.713 -3.374 10
0.382 -0.961 -3.054 11
0.404 -0.77 -2.335 9
0.364 -0.426 -1.524 10
0.25 -0.486 -0.337 10
0.182 -0.524 0.152 10
-0.249 -0.747 0.275 10
-0.604 -0.879 0.403 10
-0.836 -0.619 0.629 10
-0.985 -0.35 0.679 10
-0.947 -0.281 0.714 10
-0.835 -0.365 0.35 10
-0.398 -0.216 0.03 10
-0.16 -0.194 0.243 10
0.053 -0.261 0.365 10
0.013 -0.313 0.216 10
-0.142 -0.255 0.143 10
-0.421 -0.307 0.077 10
-0.603 -0.389 0.078 10
-0.637 -0.289 0.147 10
-0.677 0.058 0.227 10
-0.67 0.474 0.343 10
-0.551 0.237 0.3 10
-0.392 -0.087 0.218 10
-0.189 -0.113 0.11 10
0.079 0.147 -0.055 10
0.424 0.331 -0.446 10
0.718 0.461 -0.427 10
0.758 0.484 -0.333 10
0.63 0.599 -0.007 10
0.783 1.031 0.579 10
0.834 1.203 1.056 10
0.819 1.083 1.398 10
0.798 1.268 1.396 10
0.744 1.443 1.282 10
0.583 1.264 0.809 10
0.447 0.991 0.332 10
0.316 0.935 0.109 10
0.207 0.996 -0.082 10
0.393 1.112 -0.082 10
0.681 0.992 -0.005 10
0.863 0.729 0.503 10
1.139 0.579 1.496 10
1.326 0.4 2.001 11
1.392 0.17 2.128 9
1.391 -0.018 2.26 10
1.131 -0.206 1.767 10
0.802 -0.177 0.789 10
0.394 0.03 0.063 10
-0.118 0.363 -0.588 10
-0.503 0.059 -0.745 10
-0.59 -0.773 -0.317 10
-0.186 -1.342 0.084 10
-0.125 -1.13 0.326 10
-0.164 -0.966 0.069 10
-0.027 -1.222 -0.006 10
0.113 -1.479 -0.117 10
0.102 -1.555 -0.062 10
-0.02 -1.589 0.003 10
-0.19 -1.215 -0.005 10
-0.404 -0.99 -0.349 10
-0.751 -0.934 -0.642 10
-0.917 -0.78 -0.948 11
-1.024 -0.814 -1.129 9
-1.163 -0.896 -1.481 10
-1.245 -0.772 -1.747 10
-1.189 -0.695 -1.693 10
-0.872 -0.755 -1.429 10
-0.552 -0.938 -1.303 10
-0.1 -0.982 -1.155 10
