# Accelerometer Data File
# Started @Wed Jul 20 19:57:46 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
6.56 2.904 -0.961 10
7.895 1.993 -3.131 10
7.08 -2.015 -4.852 10
3.95 -7.097 -5.479 10
3.132 0.05 1.05 10
1.19 0.536 3.961 10
3.364 -0.309 2.764 10
4.975 -1.002 0.953 11
5.383 -1.04 -0.081 9
4.586 -0.746 -0.124 10
2.481 -0.447 -1.586 10
0.25 -0.618 -4.306 10
1.432 0.934 -12.175 11
0.573 -0.727 -10.337 9
-0.061 -1.697 1.711 10
-0.175 -0.752 -0.252 10
-0.33 -0.522 -0.873 10
-1.245 -0.133 -1.536 10
-2.344 0.827 0.556 10
-0.653 1.46 1.095 10
-1.424 0.116 0.201 10
-2.471 -2.239 -3.61 10
-2.862 -4.558 -3.922 10
-2.3 -3.68 -2.159 11
-0.759 -2.648 -0.693 10
0.229 -2.461 -0.167 9
-1.439 -1.827 1.357 11
-1.829 -1.299 2.833 9
-2.112 -2.1 4.386 10
-2.926 -1.545 3.844 10
-5.073 -1.408 3.106 11
-5.462 0.318 3.433 9
-3.7 -1.532 2.478 10
-3.753 -2.62 0.023 10
-3.343 -2.297 1.202 10
-2.629 0.293 2.374 10
-1.918 -1.244 9.084 10
-2.597 0.802 15.786 11
-5.612 2.058 -8.83 9
3.36 -2.215 1.817 10
0.938 2.03 -0.915 10
-0.844 -0.413 2.615 10
-2.552 1.05 3.663 11
-2.65 -0.459 -2.098 9
-1.972 0.775 4.877 10
-2.283 0.698 5.863 10
-0.891 1.171 -0.161 10
0.438 2.665 -5.256 11
1.903 1.58 -5.049 10
0.601 1.103 -2.484 10
-1.527 0.631 0.349 10
-2.607 1.119 -0.736 10
-1.2 0.154 -3.869 9
-0.244 0.526 -4.008 11
-0.237 0.956 -3.098 10
-0.661 0.309 -3.013 9
-0.75 0.045 -2.341 10
-0.804 1.299 -2.994 11
-0.663 1.962 -1.773 9
-0.571 0.852 -0.225 10
-0.79 0.0 1.71 10
-1.788 2.749 2.556 10
-0.98 -2.17 2.895 10
0.108 0.304 2.054 10
0.554 0.265 0.073 10
1.18 -1.183 0.272 10
1.984 -0.427 1.736 10
4.276 -3.633 1.683 10
3.814 1.823 -1.828 10
0.2 -1.866 -4.912 10
0.792 0.871 -5.619 10
0.351 1.637 -1.661 10
-0.855 -2.008 1.366 11
-3.071 -1.531 0.333 9
-3.428 -2.326 1.351 10
-4.714 -5.257 3.698 10
-4.122 -6.403 3.035 10
-0.77 -5.539 -2.887 10
0.383 -5.735 -3.995 10
1.793 -4.618 -1.371 11
1.355 -2.045 -0.329 9
2.142 -4.883 0.315 10
1.178 -2.852 0.731 10
