# Accelerometer Data File
# Started @Wed Jul 20 19:56:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.12 4.412 7.007 0
-0.861 3.954 6.194 9
-0.525 3.61 5.609 11
-0.395 3.223 5.453 9
-0.468 2.815 5.339 10
-0.464 2.395 4.874 10
-0.392 2.07 4.24 11
-0.309 1.914 3.712 10
-0.399 1.869 3.376 9
-0.506 1.777 2.943 10
-0.533 1.608 2.545 10
-0.445 1.421 2.325 10
-0.323 1.262 2.213 11
-0.23 1.127 1.932 9
-0.052 1.049 1.626 10
-0.193 0.883 1.619 11
-0.294 0.899 1.586 9
-0.42 1.007 1.531 10
-0.723 0.889 0.921 11
-0.211 0.809 1.467 9
0.447 0.995 1.553 11
0.911 0.99 1.182 9
0.975 0.753 0.727 11
0.903 0.661 0.31 10
0.882 0.819 0.227 10
0.897 0.875 0.222 9
0.962 0.83 0.148 10
1.099 0.764 -0.073 11
1.058 0.645 -0.221 10
1.081 0.46 -0.483 10
0.766 0.31 -0.978 10
0.474 0.012 -1.052 10
0.289 -0.092 -0.775 10
-0.049 0.106 -0.688 10
-0.131 0.113 -0.344 10
0.045 -0.027 0.129 10
0.411 -0.033 0.099 10
0.491 -0.081 0.029 10
0.467 0.021 0.052 9
0.334 0.191 -0.09 11
0.318 0.198 -0.168 9
0.321 0.29 -0.108 11
0.306 0.313 0.066 10
0.103 0.376 -0.164 10
0.075 0.433 -0.156 9
0.137 0.433 -0.02 11
0.175 0.398 0.154 10
0.235 0.401 0.311 10
0.53 0.499 0.349 10
0.632 0.656 0.374 10
0.776 0.444 0.543 9
1.0 0.262 0.463 11
1.124 0.425 0.219 10
0.83 0.598 -0.207 10
0.644 0.478 -0.506 10
0.2 0.361 -0.481 10
-0.069 0.152 -0.407 10
0.041 -0.095 0.314 10
0.243 -0.085 0.584 10
0.503 -0.042 0.465 10
0.582 -0.072 0.324 10
0.636 -0.143 0.343 10
0.814 -0.111 0.102 9
0.853 -0.057 -0.399 11
0.716 -0.042 -0.557 10
0.86 -0.064 -0.475 10
1.067 -0.144 -0.031 10
1.107 -0.259 0.471 9
0.953 -0.543 1.277 11
0.926 -0.945 2.063 10
1.075 -1.308 2.658 10
1.329 -1.418 2.478 10
1.421 -1.561 2.024 9
1.554 -1.301 1.227 11
1.252 -0.809 0.07 9
0.739 -0.418 -0.635 11
0.527 -0.462 -1.45 10
0.474 -0.416 -2.245 9
0.565 -0.305 -2.227 10
0.258 -0.464 -2.03 10
0.267 -0.573 -1.62 10
0.619 -0.386 -0.777 10
0.842 -0.477 -0.656 10
1.008 -0.377 -0.47 10
1.183 -0.279 0.11 10
0.995 -0.079 -0.434 10
0.577 -0.019 -0.365 10
0.269 -0.138 -0.613 10
0.44 0.254 -0.905 10
0.491 0.177 -1.616 10
0.218 0.366 -1.989 10
0.558 0.191 -1.781 10
1.002 0.465 -2.491 10
0.85 0.298 -2.448 10
0.205 0.044 -1.859 10
-0.461 -0.011 -1.371 10
-0.527 0.093 -1.062 10
-0.647 0.256 -1.188 10
-1.09 0.23 -1.561 10
-1.214 -0.438 -1.491 10
0.104 -0.92 -1.204 10
0.783 -0.484 -2.023 11
0.852 -0.763 -2.975 10
0.422 -1.126 -2.695 10
0.379 -1.134 -1.4 9
0.221 -1.064 -0.406 11
0.043 -1.026 0.09 10
-0.175 -1.182 0.71 10
-0.554 -1.486 1.217 10
-0.921 -1.587 1.466 10
-0.915 -1.679 1.698 10
-0.522 -1.761 1.597 10
0.021 -1.817 1.136 10
0.355 -1.816 0.772 10
0.793 -1.902 0.678 10
1.24 -1.875 0.196 10
1.331 -1.576 -0.607 10
1.732 -1.642 -0.934 10
2.042 -1.84 -0.254 10
1.786 -1.811 -0.013 10
1.754 -1.751 -0.176 10
1.785 -1.808 -0.331 10
2.313 -2.05 -1.125 10
2.987 -2.017 -1.917 9
4.515 -1.72 -2.415 11
4.572 -1.255 -2.88 10
5.063 -0.595 -3.032 10
5.367 -0.312 -1.858 10
3.589 -0.737 -2.732 10
3.584 -1.577 -3.312 9
3.768 -2.635 -2.266 10
3.986 -2.38 -0.807 11
4.07 -2.038 -0.329 9
4.206 -2.041 -0.77 10
3.889 -1.906 -0.504 11
3.172 -1.405 0.02 10
2.424 -1.066 -0.266 10
1.587 -0.787 -0.437 10
0.885 -0.527 -0.868 10
0.228 -0.518 -1.393 10
0.076 -0.888 -1.245 10
0.154 -1.429 -0.948 10
0.182 -1.863 -0.888 9
0.646 -2.065 -0.583 11
0.849 -1.884 -0.37 9
-1.002 -2.221 -5.099 10
-0.186 -0.379 -5.08 11
-0.418 -1.444 0.21 9
-0.833 -1.438 -3.137 11
0.982 -0.328 1.141 9
-3.209 3.03 -4.713 10
0.636 -3.581 2.179 11
0.486 -3.162 -0.736 10
-3.095 2.1 -5.679 10
-2.605 0.391 0.12 10
-2.543 -0.794 2.771 10
-2.185 -1.249 1.546 9
-2.233 -0.641 0.366 10
-2.113 -1.258 1.648 11
-2.462 -1.477 1.104 10
-0.234 -2.605 -1.143 9
-0.262 1.163 3.185 10
-0.796 1.253 0.893 10
-0.837 0.818 0.795 10
-0.305 -0.806 3.68 11
-0.516 -1.475 2.554 9
-0.921 0.128 2.264 10
-0.398 -0.487 6.174 10
-1.315 0.914 3.342 11
-4.769 2.322 -5.205 9
-2.973 -1.219 1.623 11
-1.176 -0.011 2.806 9
-0.498 0.368 3.689 11
-0.552 -0.34 3.957 10
-0.824 1.064 2.269 10
0.378 1.19 0.197 10
0.263 -0.497 0.927 10
-0.987 -0.645 -5.043 9
-0.879 -0.391 -9.693 11
0.414 0.699 -4.698 9
0.812 -1.198 -0.513 10
0.585 -1.569 1.588 10
-0.404 -2.119 1.705 11
-0.872 -1.864 1.0 10
-0.457 -1.496 1.917 10
-0.075 -1.347 3.596 9
0.078 -1.04 3.495 10
-0.593 -0.987 2.025 11
-2.042 -1.595 0.59 10
-2.898 -1.091 -1.046 10
-3.444 -1.197 -2.018 10
-2.962 -0.767 -1.989 10
-2.122 -1.018 -1.445 10
-0.376 -0.821 -1.938 9
0.98 -0.782 -1.4 10
1.571 -0.868 -1.096 11
2.215 -0.669 -1.064 9
2.184 -0.378 -0.975 11
1.715 -0.193 -0.282 9
0.69 -0.295 1.029 10
0.794 -0.127 2.185 11
0.938 0.195 2.302 9
0.715 0.382 1.4 10
0.566 0.206 0.294 11
0.871 0.573 -0.639 10
-0.335 0.826 -1.394 10
-1.629 0.64 -1.729 9
-2.742 0.783 -1.745 10
-2.33 0.885 -0.881 10
-1.355 0.84 0.507 11
0.693 -0.45 0.836 10
0.865 -0.146 3.209 10
-0.945 0.557 4.206 10
-2.195 -0.377 5.915 9
-2.165 0.677 0.376 10
-1.086 2.057 -1.005 11
0.021 2.489 -2.405 10
0.743 1.378 -5.103 9
1.858 2.223 -2.429 10
1.733 0.691 -0.842 10
1.197 0.01 0.362 10
0.026 -0.068 1.248 10
-0.838 -0.958 1.097 10
-1.305 -0.586 -0.977 10
-0.684 -0.786 -1.62 10
-0.064 -0.406 -1.519 10
0.683 0.091 -2.384 10
0.899 -0.478 -2.49 11
0.887 -0.49 -1.776 9
1.014 -0.553 0.013 10
0.076 -0.532 0.055 11
-0.973 -0.143 -0.717 9
-0.73 0.06 -0.654 10
-1.07 1.614 1.229 10
-1.627 4.78 4.58 10
0.241 -11.091 3.992 10
2.226 -0.906 5.196 10
1.546 -2.462 -0.123 10
3.52 -2.362 1.302 10
3.935 -0.953 0.456 10
4.766 -2.168 0.419 11
3.005 0.849 -1.122 9
-0.587 0.617 -1.173 11
-3.588 1.418 0.107 9
-4.496 1.853 0.501 10
-3.745 2.504 0.391 11
-2.948 2.659 0.153 9
-2.171 3.298 -0.439 10
-1.333 2.666 0.501 10
0.265 0.607 -0.384 10
1.945 -0.763 -0.88 11
2.81 -1.161 -1.801 9
2.753 -1.269 -1.81 10
1.47 -1.59 0.232 10
-0.504 -1.629 0.243 10
-1.936 -1.147 -0.832 10
-1.699 -0.231 -1.404 10
-0.314 0.145 -1.47 10
-0.162 0.699 -0.401 11
-0.654 1.034 0.552 10
-0.321 1.629 -0.485 10
-0.289 1.069 -0.436 10
-0.346 0.256 0.253 10
-0.734 0.997 -1.969 10
-1.997 2.457 -0.316 10
-4.676 0.445 2.516 10
-4.208 0.4 0.601 9
-1.813 -3.328 0.446 11
-1.21 -3.874 -2.046 10
-1.347 -2.59 -0.35 10
-0.738 -0.935 -4.685 10
1.627 -6.642 -3.216 10
2.051 -6.159 -2.421 10
-1.205 -2.354 -1.773 10
-1.438 -1.886 -1.493 10
2.093 -3.085 -0.171 10
1.728 -4.052 -0.516 10
0.771 -3.164 0.026 10
1.314 -1.081 -1.251 10
1.235 -1.86 -1.126 10
