# Accelerometer Data File
# Started @Mon Jul 18 22:15:46 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.338 3.381 -0.709 10
2.376 2.534 0.49 10
1.173 4.66 1.717 10
-0.443 6.909 4.114 10
2.367 9.398 8.615 10
3.845 14.449 15.39 10
8.391 14.314 16.988 10
11.008 12.882 15.47 10
12.433 11.594 13.923 10
11.207 10.435 12.531 10
10.086 9.357 11.278 10
9.077 6.844 10.15 10
8.118 4.616 8.911 10
6.332 0.759 3.745 10
1.312 0.381 0.19 10
-2.465 -0.802 -4.422 10
-4.606 -3.135 -7.979 10
-6.412 -4.744 -9.603 10
-7.968 -5.347 -10.858 10
-8.956 -5.769 -10.85 10
-9.543 -6.131 -9.704 10
-9.795 -6.527 -9.001 10
-10.332 -7.184 -8.739 11
-10.988 -7.552 -9.037 10
-10.7 -6.796 -8.271 9
-9.699 -6.556 -7.065 10
-9.918 -6.288 -6.048 10
-8.676 -5.522 -3.668 10
-6.662 -1.91 -2.051 10
-4.479 -1.719 -0.053 10
-2.462 -3.65 -1.832 10
-0.57 -3.716 -0.201 10
0.727 -1.62 0.456 10
0.715 0.575 0.161 10
-0.864 0.802 0.722 10
-1.786 1.497 1.46 10
-1.099 3.02 1.917 10
0.234 4.485 3.32 10
1.572 3.441 5.151 10
0.967 0.244 5.412 10
2.947 4.745 4.104 10
7.247 9.08 10.425 10
-0.416 11.43 5.762 10
3.461 11.761 5.557 10
5.166 10.584 8.785 10
2.391 9.526 6.2 11
4.108 8.573 4.683 9
10.093 7.716 6.37 10
13.341 6.944 6.232 10
13.171 6.25 3.075 10
9.802 5.625 0.19 10
6.641 4.709 -1.672 10
2.392 2.014 -4.453 11
1.239 -0.686 -6.533 9
-0.41 -2.763 -6.965 10
-1.274 -4.099 -6.381 10
-2.318 -5.24 -6.01 10
-3.302 -6.75 -6.547 10
-3.609 -7.825 -7.417 10
-3.74 -8.413 -6.081 10
-4.038 -8.623 -5.111 10
-3.953 -8.804 -4.445 10
-2.748 -9.026 -3.302 10
-2.447 -10.908 -3.385 10
-3.348 -12.678 -2.978 10
-3.763 -13.953 -2.568 10
-3.387 -12.773 -1.777 10
-1.988 -9.238 -0.323 10
-1.531 -6.556 -0.369 10
-1.395 -6.012 -1.392 10
-0.462 -6.247 -1.322 10
0.505 -5.82 -0.664 10
1.136 -5.126 -0.011 10
1.289 -5.519 0.429 10
0.609 -6.018 -0.837 10
0.022 -5.321 -1.158 10
-0.238 -4.272 -1.017 10
-0.343 -2.388 -2.38 10
0.767 -0.115 -3.383 10
2.397 2.714 -4.441 10
3.588 7.76 -3.204 11
7.849 16.103 2.244 10
12.727 19.199 9.94 9
12.152 17.331 17.427 10
10.937 15.598 17.4 10
9.473 14.038 15.203 40
4.449 12.246 9.589 10
-0.555 8.427 4.199 11
-3.568 5.154 -0.055 10
-5.538 2.173 -2.239 9
-6.932 0.835 -2.842 10
-7.359 0.347 -3.747 10
-7.356 -0.833 -4.64 10
-7.069 -1.87 -5.184 10
-6.939 -2.597 -5.407 10
-7.142 -3.509 -5.668 10
-7.22 -3.908 -5.515 10
-6.921 -3.509 -5.265 10
-7.047 -3.244 -5.471 11
-7.015 -3.075 -5.381 10
-6.589 -3.914 -5.42 9
-6.387 -3.651 -4.619 10
-4.99 -2.528 -3.313 10
-4.43 -2.577 -2.645 11
-3.746 -3.353 -1.32 10
-1.923 -3.113 -0.326 9
-0.559 -2.457 -1.5 10
0.393 -1.702 -2.281 11
0.103 -1.541 -2.294 9
-1.699 -1.154 -0.694 10
-1.598 -0.538 1.874 10
-0.74 -0.545 2.255 10
-0.683 0.138 1.228 10
-0.235 1.598 2.303 10
-0.505 3.972 3.073 10
-0.601 6.936 2.446 10
-1.454 11.19 3.727 10
-0.921 12.295 6.785 10
1.334 11.065 11.761 11
3.7 9.959 14.489 10
6.234 8.963 15.057 10
9.722 8.066 13.844 9
12.008 7.26 12.46 11
11.643 6.534 9.886 10
10.755 5.88 6.165 10
9.334 5.232 3.247 10
7.685 2.718 0.966 10
5.253 -0.958 -1.422 10
2.702 -4.249 -3.168 10
0.898 -6.281 -4.195 10
-0.398 -7.316 -4.853 10
-1.745 -8.231 -5.428 10
-2.622 -9.433 -5.307 10
-2.015 -10.532 -5.44 10
-2.857 -10.298 -5.767 10
-1.373 -9.328 -4.432 10
-0.787 -8.783 -4.488 10
-1.096 -9.862 -4.97 10
-0.823 -10.134 -4.18 10
-0.008 -10.301 -4.09 10
-0.395 -9.228 -4.482 10
-1.148 -8.693 -5.266 10
-1.24 -8.496 -5.3 10
-1.582 -7.62 -5.089 10
-1.467 -6.884 -4.916 10
-1.285 -5.773 -4.373 10
-0.915 -4.558 -3.237 10
-0.29 -2.87 -2.284 10
1.109 -1.074 -1.504 10
2.644 0.472 -0.931 10
3.88 2.053 -0.7 10
5.181 3.891 -0.51 10
5.714 5.82 -0.217 10
5.453 7.677 0.036 10
4.33 11.262 1.601 10
6.379 15.661 4.32 10
10.068 15.905 7.922 10
9.777 14.314 10.672 10
8.799 12.883 12.966 10
7.919 11.594 14.781 10
7.127 10.435 13.613 10
6.414 9.391 11.261 10
5.695 8.452 6.894 10
2.083 7.029 3.61 10
-2.434 2.956 0.939 10
-5.759 0.109 -1.067 10
-8.036 -2.245 -2.607 10
-9.464 -4.037 -4.156 10
-10.552 -5.323 -5.378 10
-11.548 -6.273 -6.392 10
-11.497 -7.24 -6.787 10
-11.717 -7.749 -7.073 10
-11.58 -7.232 -7.297 10
-11.232 -6.44 -6.998 10
-10.824 -6.167 -6.971 10
-10.224 -5.852 -6.472 9
-9.34 -5.723 -5.661 11
-8.466 -5.392 -5.293 9
-7.033 -4.836 -4.47 10
-4.977 -4.214 -3.773 10
-3.195 -3.284 -3.232 10
-1.755 -2.551 -3.021 10
-0.872 -1.778 -2.564 10
-0.078 -0.928 -2.049 10
-0.174 0.439 -1.628 10
-0.096 1.585 -1.026 10
0.654 2.478 -0.018 10
1.373 3.549 0.069 10
1.865 4.556 0.226 10
2.566 5.074 0.634 10
3.361 6.807 1.269 10
2.663 9.273 1.668 10
2.457 11.517 2.587 11
3.306 10.796 3.043 9
5.311 9.717 3.722 10
7.408 8.745 4.97 11
10.986 7.87 8.532 9
13.654 7.083 8.894 11
13.633 6.375 7.358 9
12.631 5.737 6.786 10
11.894 5.164 3.005 11
9.998 4.63 0.92 10
6.266 1.297 0.13 10
2.829 -2.581 -0.477 10
-0.659 -5.357 -1.179 10
-3.187 -7.64 -1.061 10
-4.894 -9.082 -1.619 10
-6.008 -9.794 -2.043 10
-6.433 -10.565 -2.761 10
-6.6 -10.887 -3.071 10
-6.267 -11.031 -3.186 10
-4.951 -11.1 -2.91 10
-3.439 -10.723 -2.835 10
