# Accelerometer Data File
# Started @Wed Jul 20 19:51:56 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.587 -0.943 -4.756 10
0.117 -0.452 -0.229 10
-1.178 -1.096 0.646 10
-1.87 -1.383 -1.943 10
-1.52 -0.986 -2.723 10
-0.85 -1.051 -3.011 10
0.009 -1.317 -1.563 10
-0.137 -1.59 -1.157 10
-0.373 -1.845 -2.101 10
0.551 -2.065 -1.469 10
1.289 -1.54 -0.089 10
1.108 -0.972 1.22 10
1.385 -3.124 1.046 10
1.238 -2.415 1.467 10
0.58 0.721 5.329 10
-4.416 0.959 3.261 10
-5.121 1.82 -7.915 10
-3.29 0.043 -2.219 10
-2.918 -1.399 0.018 10
-2.109 -0.794 -2.094 10
-1.631 -0.508 -2.479 10
-1.407 -0.078 -2.042 10
-2.171 1.041 0.066 10
-2.678 2.213 1.646 10
-3.445 2.353 1.912 10
-3.281 1.161 1.703 10
0.097 -0.945 1.335 10
3.992 -1.411 1.718 10
5.523 -0.287 3.201 10
0.627 4.249 4.286 10
-3.055 -5.518 -2.683 10
1.404 -3.493 -1.786 10
3.022 1.424 0.004 10
3.84 -3.467 -5.029 10
2.965 -0.457 -2.923 10
0.341 0.717 -1.347 10
-0.657 -1.508 -0.091 10
-1.643 -1.754 0.83 10
-2.246 -1.872 1.333 10
-2.082 -1.4 1.786 10
-2.227 -0.898 0.677 10
-1.418 -0.929 -1.847 10
-1.923 -0.276 0.026 10
-1.187 1.785 0.731 10
-3.025 1.046 -2.315 10
-0.447 1.476 -2.859 10
-0.419 -0.593 -3.237 10
0.113 -0.818 -2.456 10
-1.397 -3.339 0.202 10
-0.18 -4.298 -0.24 10
0.759 -6.764 1.878 11
-1.238 -5.467 3.181 9
-0.209 -5.429 0.113 10
1.112 -4.42 1.739 10
-0.386 -4.349 1.195 11
0.48 -7.594 -2.604 9
-0.214 -5.37 0.155 10
-0.839 -4.41 -1.299 10
0.132 -1.418 0.787 10
-0.467 -0.087 -0.403 10
-0.066 2.852 0.696 10
-1.266 5.161 -2.63 10
-1.028 5.007 -1.893 10
-1.313 3.222 1.588 10
-0.897 4.278 2.256 10
-1.342 2.058 -2.106 10
-0.656 0.766 -1.8 10
1.288 2.482 -0.258 10
1.254 -0.299 -0.344 10
-0.819 -1.614 0.051 10
0.116 0.503 -0.962 10
0.526 0.892 -1.184 10
-0.542 0.027 -0.169 10
-1.238 -0.009 -0.23 10
-1.192 -0.439 0.223 11
-1.107 0.182 0.675 9
-0.108 1.827 0.78 10
1.1 2.17 0.176 10
1.782 0.97 -1.341 10
1.923 0.968 -1.836 10
1.179 2.181 -2.402 10
0.182 3.17 -1.713 10
-1.188 3.672 -1.421 10
-1.75 1.641 -0.71 10
-2.015 -0.255 0.075 10
-2.494 -0.246 0.404 10
-1.435 0.139 0.337 10
0.13 -1.037 1.286 10
-1.856 -0.563 0.899 10
1.932 -1.515 1.774 10
1.937 -3.975 -1.462 10
0.183 -0.319 -1.445 10
-0.171 2.09 1.345 10
-1.86 2.467 1.874 10
-6.225 1.988 2.505 11
-12.334 9.926 2.892 9
6.163 1.572 -5.093 10
8.063 -7.1 -5.506 10
5.18 -7.036 -3.869 10
-1.724 -4.35 3.033 10
-2.284 0.945 3.669 10
2.865 -1.045 1.259 10
4.173 -4.448 -3.597 10
1.885 -2.469 -1.971 10
1.222 -0.817 -1.644 10
1.867 -1.459 -1.506 10
2.844 -3.477 -1.312 10
2.749 -3.362 -0.181 10
1.767 -1.19 0.095 10
1.168 -0.588 0.456 10
0.689 -1.089 0.393 10
0.284 -1.592 0.586 10
0.178 -2.631 0.562 10
-1.088 -0.093 0.48 10
-1.988 0.916 -0.317 10
-2.082 1.591 -0.208 10
-2.02 2.096 0.312 10
-0.706 1.593 0.738 10
0.828 0.468 1.121 10
2.047 0.542 2.129 10
2.411 0.522 1.339 10
0.11 0.746 -0.449 10
-0.047 0.895 1.215 10
-1.352 1.84 -0.69 10
-1.846 2.552 -0.5 11
-1.36 2.219 -0.907 9
-0.663 0.843 -0.635 10
-0.993 0.689 -0.028 10
-0.799 0.698 -0.275 10
-0.15 0.516 -0.791 11
0.527 0.266 -1.298 9
1.104 0.308 -0.772 10
1.071 0.614 -0.22 10
0.955 1.044 0.085 11
0.653 0.974 0.982 10
-0.144 0.523 0.84 9
-0.362 0.281 0.463 10
-0.481 0.908 -0.479 10
-0.304 0.67 -0.517 10
-0.127 0.836 -1.06 11
0.385 0.994 -1.1 9
1.087 1.17 -0.783 10
1.582 1.079 -0.989 10
1.7 1.04 -1.244 10
1.288 1.608 -1.343 10
0.642 2.404 -1.657 11
-0.136 2.396 -2.172 9
-0.855 2.544 -2.412 10
-1.149 2.669 -2.343 10
-0.862 2.049 -1.712 10
-0.62 1.18 -1.067 11
-0.515 -0.1 -0.495 9
