# Accelerometer Data File
# Started @Mon Jul 18 22:42:29 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.887 4.533 6.585 0
-1.405 4.287 5.521 9
-1.049 3.944 4.676 11
-0.832 3.636 4.208 9
-0.689 3.16 3.977 11
-0.714 2.542 3.734 9
-0.712 2.211 3.809 10
-0.701 2.033 3.764 10
-0.665 2.079 3.293 10
-0.642 1.906 2.808 10
-0.647 1.594 2.528 10
-0.659 1.461 2.275 10
-0.637 1.504 1.927 10
-0.642 1.561 1.915 10
-0.009 0.793 3.938 10
-0.973 1.687 1.76 10
-0.859 1.691 2.041 11
-0.661 1.504 2.087 9
-0.922 1.139 2.068 10
-0.7 0.99 1.783 10
-0.544 0.753 1.398 10
-0.257 0.885 2.301 10
-0.386 0.072 0.149 10
0.013 0.263 -1.029 10
0.089 0.806 -1.098 10
-0.074 0.958 0.019 10
-0.152 0.845 1.586 10
-0.051 0.441 1.901 10
-0.253 -0.179 1.039 10
-0.133 -0.265 0.556 10
-0.076 -0.031 0.483 10
0.086 -0.002 0.107 10
0.241 0.1 -0.204 10
0.217 0.176 0.272 10
0.169 0.297 1.098 10
0.066 0.163 1.428 10
0.016 -0.214 1.526 11
0.075 -0.529 1.313 9
0.335 -0.571 0.992 10
0.413 -0.617 0.402 11
0.501 -0.641 -0.241 10
0.623 -0.629 -0.622 10
0.69 -0.661 -0.991 10
0.656 -0.534 -1.426 9
0.53 -0.3 -1.464 11
0.459 -0.011 -1.059 9
0.388 0.213 -0.462 10
0.366 -0.195 0.169 11
0.459 -0.624 0.782 10
0.585 -0.682 0.988 9
0.776 -0.536 1.053 21
0.768 -0.388 1.034 10
0.691 -0.564 0.499 9
0.777 -0.594 -0.162 10
0.785 -0.638 -0.921 10
0.715 -0.626 -1.088 11
0.592 -0.649 -0.755 10
0.386 -0.628 -0.369 9
0.244 -0.332 -0.056 10
0.116 0.131 0.509 11
-0.067 0.506 1.552 9
-0.327 0.197 1.897 11
-0.398 -0.21 1.854 9
-0.298 -0.439 1.194 11
0.016 -0.472 0.411 10
0.204 -0.408 -0.267 10
0.295 -0.203 -0.835 10
0.3 -0.14 -1.294 9
0.33 -0.117 -1.501 10
0.375 -0.045 -1.316 11
0.424 0.01 -0.831 9
0.433 -0.067 -0.326 11
0.433 -0.078 0.145 9
0.458 -0.148 0.122 11
0.524 -0.064 -0.053 10
0.549 0.045 -0.263 9
0.494 0.066 -0.4 11
0.281 0.146 -0.403 10
0.098 0.174 -0.268 9
0.028 0.286 -0.086 10
-0.043 0.352 0.094 10
-0.116 0.291 0.11 10
-0.191 0.288 0.065 10
-0.18 0.406 0.05 10
-0.171 0.511 -0.041 10
-0.171 0.676 -0.114 10
-0.119 0.755 -0.06 10
-0.185 0.722 0.006 10
-0.278 0.547 -0.183 20
-0.311 0.388 -0.2 10
-0.228 0.298 -0.214 10
-0.248 0.406 -0.201 10
-0.241 0.365 -0.121 10
-0.216 0.337 0.33 10
-0.272 0.2 0.495 10
-0.236 0.102 0.394 10
-0.092 0.118 0.156 10
-0.023 0.02 -0.005 10
-0.02 -0.171 -0.022 10
-0.01 -0.136 -0.011 10
-0.155 -0.045 0.213 10
-0.234 -0.049 0.373 10
-0.297 0.05 0.146 10
-0.319 0.191 -0.049 10
-0.253 0.077 -0.095 10
-0.176 0.104 0.042 10
-0.158 0.274 0.038 10
-0.125 0.187 -0.034 10
-0.061 0.004 -0.056 10
-0.063 0.055 -0.094 10
-0.16 0.067 0.027 10
-0.256 0.0 0.257 10
-0.274 0.009 0.412 10
-0.281 0.085 0.457 10
-0.373 0.102 0.532 10
-0.362 0.239 0.487 10
-0.3 0.163 0.447 10
-0.313 0.104 0.316 10
-0.402 -0.139 0.328 10
-0.517 -0.607 0.7 10
-0.594 -0.969 1.302 10
-0.664 -1.148 1.758 10
-0.555 -1.438 2.039 10
-0.516 -1.32 1.775 10
-0.715 -1.162 1.425 10
-0.781 -0.968 1.093 10
-0.806 -0.742 0.483 10
-0.674 -0.435 -0.331 10
-0.512 -0.202 -1.28 10
-0.331 -0.078 -2.032 10
-0.1 -0.26 -2.406 10
0.056 -0.329 -2.484 10
0.102 -0.279 -2.21 10
0.092 -0.664 -1.454 10
0.194 -0.624 -0.792 10
0.149 -0.242 -0.316 10
0.108 -0.296 0.223 10
-0.091 -0.292 0.615 10
-0.332 -0.047 0.484 10
-0.282 -0.172 0.341 10
-0.202 0.0 0.117 10
-0.474 0.431 -0.187 10
-0.358 0.103 -0.53 11
-0.305 0.032 -0.632 9
0.009 -0.065 -0.31 10
0.318 0.027 -0.477 10
0.373 0.231 -0.774 10
0.568 0.294 -1.033 10
0.623 0.256 -1.214 10
0.526 0.23 -1.187 11
0.293 0.319 -0.724 9
0.186 -0.298 0.089 10
0.383 -0.38 0.364 10
0.517 0.028 0.13 10
0.37 0.223 -0.494 10
