# Accelerometer Data File
# Started @Mon Jul 18 22:37:49 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.008 3.783 7.498 0
1.295 1.336 5.249 9
-0.807 0.677 4.37 11
-2.364 0.738 5.562 10
-0.568 3.302 5.42 10
1.453 4.282 4.74 9
1.532 3.319 4.645 11
1.474 2.358 3.181 10
0.8 2.114 2.552 10
0.496 2.014 2.599 9
0.653 1.89 3.08 10
0.726 1.727 3.737 10
0.533 1.253 3.631 10
0.117 0.955 3.276 10
-0.523 0.42 3.198 10
-0.703 0.679 2.715 10
-0.107 0.999 2.34 10
-0.303 0.865 0.778 10
0.174 0.908 -0.091 10
0.347 0.981 -0.237 10
0.355 0.9 0.078 10
0.449 0.629 0.751 10
0.318 0.428 0.909 11
-0.067 0.23 0.292 9
-0.232 0.147 0.366 11
-0.175 0.063 0.287 9
-0.235 0.203 0.025 11
-0.021 0.484 -0.373 10
0.066 0.462 -0.292 10
0.352 0.381 0.236 10
0.481 0.222 0.41 9
0.545 0.234 0.869 10
0.559 0.547 0.403 11
-0.194 0.492 0.328 9
-0.149 0.003 1.114 11
-0.254 0.063 -0.418 10
-0.625 -0.071 0.872 9
-0.106 0.185 -0.317 11
-0.716 -0.333 0.791 10
-0.489 -0.463 1.117 10
-0.242 -0.572 0.755 10
-0.795 -0.653 0.524 10
-0.414 -0.251 0.386 10
-0.45 -0.416 0.33 10
-0.25 -0.314 0.538 10
-0.182 -0.239 0.458 9
-0.224 -0.172 0.18 11
-0.176 0.0 -0.079 10
-0.089 0.155 -0.191 10
0.117 0.191 -0.112 10
0.39 0.241 -0.144 9
-0.139 0.018 0.697 11
-0.35 -0.052 0.731 10
-0.496 -0.167 0.52 10
-0.386 -0.168 0.209 10
-0.218 -0.065 0.016 9
-0.075 -0.032 -0.321 11
0.043 0.03 -0.47 9
0.177 0.105 -0.569 11
0.116 0.112 -0.461 10
0.027 0.031 -0.139 10
0.007 -0.048 0.124 10
-0.122 -0.13 0.215 9
-0.084 -0.134 0.168 10
-0.067 -0.077 -0.072 11
0.016 0.041 -0.125 9
0.075 0.037 -0.164 11
0.059 0.025 -0.148 9
-0.024 -0.183 -0.004 11
-0.056 -0.225 0.142 9
-0.05 -0.289 0.3 10
-0.131 -0.157 0.132 10
-0.101 -0.21 0.197 10
-0.022 -0.284 0.177 11
0.005 -0.126 0.082 9
0.212 -0.217 0.366 10
0.182 0.028 0.08 11
-0.06 0.31 -0.617 9
0.428 0.106 -0.564 10
-0.407 0.027 0.293 10
0.133 0.153 0.178 10
-0.086 -0.034 0.031 10
-0.069 0.038 -0.48 10
-0.372 -0.129 0.222 10
-0.266 -0.159 -0.092 10
0.251 -0.091 -0.152 10
0.174 -0.048 0.181 10
0.424 0.025 -0.181 10
-0.247 0.014 -0.188 10
-0.308 0.099 -0.04 10
-0.277 -0.091 0.118 10
-0.232 -0.048 -0.143 10
-0.338 -0.051 -0.197 10
-0.373 -0.098 -0.402 10
-0.138 -0.088 0.034 10
-0.098 -0.226 0.746 10
-0.174 -0.048 0.826 10
-0.071 0.042 0.778 10
0.099 -0.056 0.7 10
-0.341 -0.171 -0.11 10
-0.35 -0.085 -0.151 10
-0.022 0.155 0.019 10
0.048 0.002 -0.439 10
0.397 0.14 -0.421 10
0.349 0.238 -0.646 10
0.133 0.231 -0.719 10
0.007 -0.274 -0.578 10
0.403 0.115 -0.227 10
0.285 0.026 0.113 11
-0.061 0.204 0.429 9
-0.305 0.252 0.421 11
-0.309 0.253 0.275 9
-0.114 0.029 0.075 10
0.318 0.311 -0.345 10
0.175 -0.185 -0.595 10
