# Accelerometer Data File
# Started @Wed Jul 20 19:50:51 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.516 5.481 6.214 0
1.184 4.899 5.472 9
0.781 4.581 5.019 10
0.565 4.278 4.612 10
0.577 3.85 4.263 10
0.709 3.362 3.906 11
0.845 2.931 3.558 9
0.941 2.534 3.314 10
0.899 2.22 3.103 10
0.74 1.99 2.922 10
0.502 1.782 2.682 10
0.288 1.673 2.465 10
0.199 1.574 2.27 10
0.188 1.4 2.035 10
0.195 1.182 1.702 10
0.287 1.159 1.385 10
0.371 1.017 1.186 10
0.333 0.777 1.085 10
0.231 0.587 1.157 10
0.104 0.494 1.231 11
0.008 0.505 0.91 9
0.007 0.454 0.664 10
-0.329 0.418 0.468 10
-0.417 0.505 0.464 10
-0.375 0.386 0.633 11
-0.268 0.235 0.656 9
-0.121 0.065 0.659 10
-0.014 -0.053 0.593 10
0.004 -0.125 0.551 10
-0.125 -0.199 0.634 10
-0.207 -0.205 0.648 10
-0.298 -0.21 0.445 11
-0.381 -0.163 0.168 9
-0.558 -0.173 0.048 11
-0.7 -0.095 -0.103 9
-0.708 0.052 -0.334 10
-0.68 0.003 -0.49 11
-0.655 -0.039 -0.527 10
-0.607 0.007 -0.457 9
-0.606 0.049 -0.282 10
-0.649 0.044 -0.021 11
-0.627 0.031 0.101 10
-0.59 -0.006 0.177 9
-0.531 -0.031 0.263 11
-0.375 0.014 0.279 10
-0.294 0.022 0.182 9
-0.282 0.028 0.147 10
-0.262 0.06 0.124 11
-0.245 0.097 0.128 10
-0.22 0.139 0.133 9
-0.207 0.151 0.033 10
-0.203 0.144 0.168 11
-0.338 0.104 0.366 9
-0.382 0.162 0.571 11
-0.412 0.198 0.79 9
-0.268 0.118 0.857 11
-0.008 0.011 0.978 10
0.19 -0.006 0.941 10
0.223 0.045 0.717 10
0.14 0.135 0.396 9
-0.054 0.165 0.175 11
-0.238 0.191 -0.057 9
-0.318 0.189 -0.275 10
-0.234 0.162 -0.377 10
-0.064 0.085 -0.408 10
0.071 -0.026 -0.428 11
0.158 -0.023 -0.29 9
0.108 -0.004 -0.244 10
0.002 -0.012 -0.323 10
-0.057 -0.002 -0.377 11
-0.233 0.058 -0.399 9
-0.485 0.173 -0.221 10
-0.661 0.328 -0.191 10
-0.603 0.364 -0.447 10
-0.422 0.258 -0.403 10
-0.225 0.189 -0.147 10
-0.09 0.093 -0.011 10
0.013 0.04 0.187 10
0.227 0.157 0.367 10
-0.062 -0.047 0.278 10
0.029 0.051 0.285 10
0.294 0.081 0.42 10
0.35 0.124 0.24 10
0.531 0.319 0.19 10
0.486 0.252 0.154 10
0.308 0.184 0.087 10
0.303 0.226 0.138 10
0.368 0.212 0.357 10
0.426 0.096 0.477 10
0.495 0.017 0.601 10
0.523 -0.078 0.567 10
0.393 -0.105 0.312 10
0.354 -0.043 -0.011 10
0.336 -0.021 -0.372 10
0.207 -0.114 -0.645 10
0.143 -0.094 -0.805 10
0.051 -0.076 -0.845 10
0.089 -0.085 -0.717 10
0.192 -0.085 -0.447 10
0.19 -0.025 -0.161 10
0.128 0.028 0.113 10
0.158 0.017 0.377 10
0.246 -0.105 0.477 10
0.23 -0.086 0.576 10
0.129 0.06 0.665 10
0.099 0.192 0.693 10
0.158 0.207 0.71 10
0.194 0.16 0.717 10
0.14 0.196 0.55 10
0.074 0.28 0.314 10
0.032 0.321 0.136 11
0.046 0.34 -0.084 9
-0.113 0.375 -0.135 10
-0.368 0.424 -0.07 10
-0.599 0.468 0.022 10
-0.634 0.421 0.27 10
-0.648 0.301 0.45 10
-0.626 0.28 0.439 10
-0.546 0.381 0.318 13
-0.414 0.455 0.053 7
-0.269 0.547 -0.055 10
-0.07 0.682 -0.075 10
0.221 0.683 0.156 10
0.5 0.545 0.312 10
0.64 0.37 0.548 10
0.584 0.238 0.7 10
0.362 0.206 0.794 10
0.266 0.28 0.706 10
0.282 0.295 0.661 10
0.469 0.403 0.629 10
0.75 0.354 0.67 10
1.002 0.241 0.672 10
1.186 0.2 0.665 10
1.292 0.18 0.581 10
1.421 0.101 0.488 10
1.417 0.005 0.396 10
1.267 -0.167 0.098 10
0.89 -0.228 -0.195 10
0.62 0.07 -0.176 10
0.696 0.115 -0.072 10
0.85 -0.31 0.46 10
0.877 -0.58 1.121 10
0.988 -0.738 1.655 10
1.061 -0.948 1.955 10
1.196 -1.164 1.837 10
1.215 -1.314 1.386 10
0.981 -1.347 0.765 10
0.711 -1.109 0.145 11
0.51 -1.032 -0.541 9
0.33 -1.032 -1.047 10
0.236 -0.92 -1.39 10
0.239 -0.854 -1.561 10
0.249 -0.881 -1.621 10
0.172 -0.887 -1.683 10
0.095 -0.747 -1.859 10
0.309 -0.526 -2.044 10
0.64 -0.508 -1.908 10
0.714 -0.474 -1.476 10
0.513 -0.358 -1.156 10
0.298 -0.305 -0.868 10
0.018 -0.317 -0.773 10
-0.155 -0.268 -0.825 10
-0.191 -0.284 -0.975 10
-0.163 -0.316 -1.188 10
-0.121 -0.379 -1.612 10
-0.212 -0.479 -1.899 10
-0.501 -0.431 -2.071 10
-0.761 -0.259 -2.019 10
-0.944 -0.181 -1.774 10
-0.901 -0.18 -1.717 11
-0.811 -0.326 -1.847 9
-0.85 -0.388 -1.895 10
-0.748 -0.168 -1.955 10
-0.604 -0.203 -1.665 10
-0.604 -0.493 -1.266 10
-0.544 -0.53 -0.889 10
-0.455 -0.46 -0.542 10
-0.323 -0.319 -0.324 10
-0.136 -0.166 -0.188 10
-0.062 -0.141 -0.117 10
-0.038 -0.066 -0.286 10
-0.284 0.086 -0.559 10
-0.325 0.31 -0.641 10
-0.353 0.52 -0.448 10
-0.378 0.623 -0.024 10
-0.366 0.673 0.4 10
-0.363 0.7 0.937 10
-0.301 0.734 1.231 10
-0.09 0.85 1.298 10
0.314 0.929 1.246 10
0.611 1.017 1.052 10
0.601 1.191 0.955 10
0.36 1.442 0.541 10
0.091 1.703 0.228 10
0.013 1.86 0.266 10
-0.177 1.881 0.782 10
-0.297 2.245 1.109 10
-0.405 2.408 1.653 10
-0.572 2.202 1.824 10
-0.661 1.981 1.934 10
-0.758 1.869 1.775 10
-0.743 1.725 1.494 10
-0.565 1.493 1.259 10
-0.517 1.317 1.004 10
-0.681 1.573 0.765 10
-0.69 1.864 0.611 10
-0.613 1.626 0.817 10
-0.689 1.257 1.373 10
-0.637 0.786 1.96 10
-0.582 -0.016 2.134 10
-0.584 -0.824 2.067 10
-0.491 -1.319 1.792 10
-0.39 -1.506 1.104 10
