# Accelerometer Data File
# Started @Wed Jul 20 19:43:59 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.305 0.735 -6.426 10
-0.816 0.006 -5.421 10
-0.26 -0.217 -2.543 10
-0.071 -0.652 -1.298 10
0.091 -0.871 -0.763 10
0.219 -0.905 -0.195 10
-0.026 -0.211 0.823 10
-0.17 0.007 0.491 10
-0.334 0.386 0.226 10
-0.55 0.494 0.161 10
-0.236 -0.098 0.36 10
0.148 -0.105 1.229 10
0.047 -0.267 -0.177 10
-0.801 0.914 0.081 10
-1.592 1.064 -0.814 10
-0.674 -0.309 0.008 10
0.177 -0.623 0.92 10
0.65 -0.448 0.578 11
0.792 -0.395 0.339 9
0.153 -0.278 -0.814 10
-0.749 -0.112 -1.215 10
-1.269 -0.187 -0.689 10
-1.159 -0.539 0.086 10
-0.19 -0.476 0.534 10
0.233 -0.299 0.188 10
-0.005 -0.106 -1.02 10
-0.254 0.602 -1.426 10
-0.289 1.249 -0.421 10
-0.243 0.882 0.826 10
-0.167 0.941 1.623 10
-0.426 -0.178 1.486 10
-0.65 -0.177 1.036 10
-1.163 -0.858 0.355 11
-1.391 -0.281 -0.654 9
-1.726 -0.52 -1.329 10
-0.855 -1.752 -2.507 10
0.574 -2.327 -3.463 10
2.568 -1.878 -0.892 10
3.061 -5.828 2.842 10
1.186 -5.012 0.118 10
-0.647 -1.313 -1.022 10
-0.798 -2.182 -0.954 10
-0.692 -1.757 -0.083 10
-0.39 -1.71 0.588 11
-0.523 -1.134 0.641 9
-0.169 -1.227 1.68 10
0.372 1.394 3.779 10
0.611 -4.011 -1.649 10
1.222 -2.86 -2.277 10
0.126 -0.609 -0.747 10
-1.885 -0.711 -1.517 10
-2.317 0.652 -0.84 10
-2.025 1.388 -0.549 10
-1.926 2.206 -0.27 10
-1.044 2.304 0.377 10
-0.31 2.22 0.391 10
-0.624 1.903 0.403 10
-1.38 1.506 0.863 10
-1.932 1.7 0.682 10
-0.644 0.668 1.2 10
0.126 1.661 0.209 10
0.053 0.633 -0.776 10
0.074 2.165 0.705 10
0.049 -2.352 -1.321 11
-0.11 0.003 -0.266 9
-0.633 -0.979 -0.326 10
-0.596 -0.924 -0.81 10
0.42 -1.073 -1.833 10
0.584 -1.0 -3.149 10
0.267 -0.935 -3.084 10
-1.293 0.046 -1.922 10
-2.275 -1.389 0.303 10
-2.884 -2.913 1.316 10
-1.802 -4.518 0.365 10
-2.363 6.405 -1.713 10
0.622 -3.802 0.19 10
-0.414 -5.335 -0.535 10
-2.303 -0.94 -3.369 10
-0.719 0.049 -0.774 10
-0.863 0.501 -0.377 10
-1.604 -3.978 -1.314 10
-0.969 -6.468 1.403 10
-1.45 -3.477 -0.09 10
1.78 -4.947 0.203 11
1.852 -7.504 0.837 9
1.442 -5.926 1.693 10
0.35 -4.023 0.446 10
0.255 -1.095 -0.235 10
0.436 0.556 -0.393 10
-0.632 3.353 -2.163 10
-0.552 3.457 0.827 10
-0.471 1.284 -0.289 10
-0.855 1.044 -1.285 10
-0.493 1.181 0.238 10
-0.039 2.028 -0.052 10
-0.604 1.808 -0.434 10
-1.285 2.222 0.324 10
-0.51 1.026 0.645 10
-0.424 0.113 -0.134 11
-0.511 0.205 -0.181 9
-0.098 -0.271 0.172 10
-0.036 0.125 0.396 10
-0.576 0.096 -0.401 10
-0.604 0.525 -0.628 10
-0.259 0.525 0.054 10
0.705 0.205 0.058 10
-0.45 -0.573 -1.076 10
-0.302 0.018 -0.486 10
-0.435 0.05 -0.411 10
-0.426 -0.066 -0.198 10
-0.125 -0.051 -0.152 10
-0.362 0.35 1.155 11
0.319 2.384 3.987 9
-0.194 -0.241 -0.849 10
-0.175 -0.424 -3.126 10
