# Accelerometer Data File
# Started @Sun Jul 17 23:10:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.991 3.591 9.375 70
0.181 4.644 8.494 70
-0.009 5.018 7.68 70
0.66 4.644 6.732 70
0.134 5.458 6.263 70
0.095 6.071 8.398 70
-0.411 5.755 9.595 70
-1.666 5.784 9.691 70
-1.896 5.152 9.519 70
-1.177 4.261 7.642 70
-0.995 3.61 6.837 70
-1.58 4.252 7.029 70
-0.785 5.487 9.452 70
-0.756 5.87 9.854 70
-1.197 5.88 9.749 70
-0.746 5.248 8.973 70
-0.651 4.893 8.944 70
0.89 5.027 7.489 70
0.172 4.587 6.646 70
-0.095 3.888 5.583 70
-0.143 4.347 5.621 70
-0.277 5.305 5.458 70
-1.216 5.707 9.567 70
-1.388 5.793 12.229 70
-1.426 5.43 10.869 70
-0.296 4.319 9.136 70
-0.833 3.466 7.259 70
-0.699 3.715 6.962 70
0.086 3.859 8.628 70
0.067 4.501 8.197 70
0.881 5.516 7.967 70
0.871 6.052 10.687 70
0.114 4.903 8.475 70
-0.373 5.822 7.929 70
-0.028 5.094 9.002 70
0.565 4.951 7.575 70
0.593 5.439 7.345 70
0.967 6.148 7.489 70
-0.009 6.081 9.136 70
-1.158 6.11 10.342 70
-1.053 5.746 10.285 70
-1.896 4.778 11.626 71
-1.139 3.323 9.021 69
-0.603 2.557 7.201 70
-0.325 3.629 8.743 70
0.143 3.821 10.151 70
0.718 3.945 10.113 70
2.279 3.562 8.408 70
0.497 3.926 8.935 70
-0.172 4.663 7.958 70
0.392 4.75 7.795 70
0.296 5.382 8.35 70
0.21 5.908 8.858 70
-0.258 5.248 8.178 70
1.063 5.295 8.178 70
-0.708 4.989 6.234 70
-1.264 4.702 7.843 70
-1.015 4.501 8.513 70
-0.296 4.414 9.136 70
-0.124 4.491 9.442 70
1.302 3.897 10.716 70
2.212 2.116 9.414 70
-0.9 5.075 9.021 70
0.833 4.51 8.628 70
-0.105 4.232 7.297 70
0.134 5.267 7.699 70
0.603 7.354 9.825 70
0.708 7.709 9.854 70
-0.593 5.688 9.892 70
-1.283 5.123 7.307 70
-1.493 3.888 7.278 70
-1.379 3.869 6.588 20
-1.177 3.945 6.579 21
-0.9 3.792 7.058 19
-0.325 3.552 7.958 20
-0.162 3.361 8.762 20
-0.402 3.351 8.504 20
-0.536 3.313 7.603 20
-0.536 3.457 6.531 20
-0.727 3.552 6.119 20
-1.091 3.801 6.11 20
-0.804 3.849 7.287 20
-0.239 3.773 8.724 20
-0.153 3.869 9.356 20
-1.005 4.242 9.327 20
-1.838 4.644 9.959 20
-1.666 4.29 11.453 21
-0.565 3.849 11.166 19
-0.248 3.907 10.141 21
-0.363 4.654 9.337 19
-0.708 5.295 8.954 20
-0.469 5.276 8.619 20
-0.469 5.276 8.532 20
-0.047 4.951 8.532 20
0.124 4.759 8.561 21
-0.316 4.903 8.274 19
-0.957 5.468 7.891 21
-1.168 6.023 8.207 20
-0.584 5.995 8.772 19
-0.134 6.033 9.145 20
0.316 5.928 8.839 20
0.526 6.119 7.422 20
0.095 6.493 7.144 20
-0.517 6.789 7.307 20
-0.172 6.406 6.933 20
-0.469 6.512 7.058 20
-0.842 6.627 7.594 21
-0.842 6.406 8.504 20
-1.11 6.655 9.95 19
-1.407 6.655 10.927 20
-1.675 6.129 11.894 20
-2.547 6.129 11.281 20
-3.505 5.851 10.18 21
-3.849 5.142 8.35 19
-3.591 4.309 7.287 20
-2.652 3.639 5.822 20
-1.704 3.457 4.96 20
-1.723 4.05 3.485 20
-1.541 4.74 3.763 20
-1.216 4.769 4.999 20
-1.139 4.558 7.718 20
-1.379 4.175 8.944 20
-1.379 3.801 9.414 20
-1.857 3.897 9.117 20
-2.279 4.108 8.427 20
-2.269 4.07 7.852 20
-1.896 3.974 8.149 20
-1.589 4.127 8.58 20
-1.225 4.223 8.963 20
-1.158 4.606 9.107 20
-1.197 4.635 9.308 20
-0.881 4.118 9.653 20
-0.909 3.763 10.055 21
-1.063 3.907 10.716 19
-0.028 3.457 11.367 40
1.149 3.332 10.524 20
1.225 4.185 9.011 20
1.302 4.941 8.734 20
1.474 5.027 9.385 20
1.264 4.577 10.007 20
1.043 4.28 10.026 20
0.718 4.299 9.069 20
0.373 4.501 8.063 20
0.632 4.625 7.297 20
0.737 4.903 6.895 20
0.641 5.027 7.01 20
0.814 4.817 6.952 20
0.871 4.568 6.445 20
0.612 4.711 5.573 20
0.316 5.114 5.027 20
0.239 5.726 5.372 20
0.45 6.291 6.215 20
0.45 6.751 7.096 20
0.488 6.828 8.37 20
0.708 6.713 8.973 20
0.881 6.512 9.433 20
0.833 6.205 9.557 20
0.536 6.023 9.921 20
0.201 5.669 10.409 20
0.009 5.391 10.256 20
-0.258 5.343 8.408 20
-0.632 5.65 6.837 20
-1.034 5.87 6.358 20
-1.216 5.956 6.512 20
-1.063 5.736 7.307 20
-1.034 5.736 7.422 20
-1.206 5.966 6.742 20
-1.34 6.157 6.023 20
-1.072 5.908 6.186 20
-0.478 5.439 6.866 20
0.124 4.941 7.086 20
0.229 4.443 6.627 20
0.028 4.606 6.272 20
-0.277 4.663 5.995 20
-0.574 4.673 6.052 20
-0.794 4.625 7.144 40
-0.699 4.616 8.36 20
-0.689 4.807 8.609 20
-0.766 4.96 8.446 20
-0.928 5.458 7.9 20
