# Accelerometer Data File
# Started @Wed Jul 20 22:06:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.212 -0.308 -1.148 10
-0.432 -0.303 -0.637 10
-0.51 -0.368 -0.09 10
-0.416 -0.408 0.392 10
-0.314 -0.48 0.335 10
-0.222 -0.621 0.164 10
-0.148 -0.757 -0.231 10
-0.193 -0.544 -1.121 10
-0.191 -0.067 -1.578 10
-0.198 0.189 -1.67 10
-0.178 0.118 -1.831 9
-0.169 0.236 -2.044 11
-0.255 0.419 -1.865 10
-0.368 0.42 -1.524 10
-0.219 0.473 -1.268 10
-0.076 0.796 -1.175 9
-0.017 1.216 -1.015 10
0.156 1.25 -0.387 10
-0.126 1.323 0.469 11
-0.492 1.441 1.008 10
-0.434 1.667 1.037 10
-0.382 1.776 1.166 10
-0.456 1.848 1.127 9
-0.703 1.888 0.893 11
-1.073 1.863 0.709 10
-1.276 1.806 0.397 10
-1.458 1.642 0.116 9
-1.821 1.478 0.199 10
-2.061 0.934 -0.329 11
-1.743 1.159 -0.046 10
-1.086 1.595 0.725 9
-0.081 1.03 0.618 10
0.952 0.134 0.384 11
1.65 -0.421 -0.214 10
1.95 -0.914 -0.667 10
1.186 -1.615 -0.1 10
0.24 -1.859 -1.055 10
-0.188 -1.776 -1.096 10
-0.566 -1.469 -0.185 10
-1.026 -0.848 0.755 10
-1.027 -0.436 0.438 9
-0.476 -0.47 0.084 11
0.036 -0.509 -0.174 9
0.282 -0.898 -0.242 11
0.633 -1.273 0.074 9
0.742 -1.43 1.041 11
1.047 -1.727 1.005 10
0.813 -1.201 0.801 9
0.292 -0.279 0.592 11
-0.279 0.248 0.429 10
-0.846 0.18 0.403 10
-1.425 0.171 0.311 10
-1.282 0.274 0.297 10
-0.939 -0.071 0.061 10
-0.845 -0.331 -0.125 10
-0.734 -0.402 -0.233 9
-0.825 -0.223 -0.279 11
-0.828 0.031 -0.51 10
-0.832 0.286 -0.622 10
-0.378 0.318 -0.603 9
0.521 -0.523 -0.655 10
1.288 -1.238 -0.503 10
1.348 -1.062 -0.074 10
1.076 -0.603 0.174 11
0.701 -0.499 0.088 10
0.501 -0.846 -0.222 9
0.175 -0.873 -0.036 10
-0.307 -0.286 0.76 10
-0.293 0.13 0.589 11
0.002 -0.081 0.134 10
0.347 -0.4 -0.051 10
0.597 -0.532 -0.029 10
0.744 -0.427 -0.112 9
0.756 -0.29 -0.308 11
0.576 0.402 -0.716 10
0.062 0.0 -0.119 9
0.418 -0.473 0.099 11
0.436 -0.116 0.778 9
0.22 0.429 1.356 11
0.258 0.662 1.444 10
0.422 0.785 1.032 10
0.457 0.974 0.705 9
0.265 1.083 0.703 10
0.489 1.07 0.754 11
0.81 0.989 0.652 10
1.522 0.855 0.742 10
1.749 0.951 0.849 10
1.548 1.028 0.747 9
1.402 0.52 0.724 11
1.477 0.313 0.281 10
1.286 0.161 -0.014 9
0.847 -0.121 -0.219 10
0.314 -0.299 -0.731 11
-0.009 -0.467 -1.055 10
-0.474 -0.429 -1.26 10
-0.771 -0.55 -1.349 10
-0.668 -0.719 -1.154 9
-0.618 -0.587 -0.581 10
-0.419 -0.347 -0.196 11
-0.084 -0.054 -0.073 10
0.458 0.184 -0.445 10
1.076 -0.024 -0.986 9
1.46 -0.306 -1.629 10
1.555 -0.766 -1.69 11
0.977 -1.052 -1.374 10
0.0 -0.929 -0.504 10
-0.757 -0.69 0.347 9
-1.207 -0.474 0.691 10
-1.44 -0.246 0.812 11
-1.494 -0.135 0.601 10
-1.25 0.136 0.395 9
-1.039 0.192 0.355 10
-0.883 0.388 0.121 10
-0.64 0.694 0.1 11
-0.532 1.038 -0.003 10
-0.522 1.21 -0.141 9
-0.367 1.235 -0.118 10
0.031 1.293 -0.21 10
0.433 1.345 -0.206 11
0.752 1.382 -0.358 10
0.97 1.287 -0.46 9
1.01 1.184 -0.371 10
0.952 1.178 -0.049 10
0.814 1.224 0.041 11
0.69 1.136 0.08 10
0.508 1.005 0.417 10
0.294 0.999 0.685 9
0.109 1.063 0.824 11
0.072 1.008 0.991 10
0.082 0.744 1.107 10
0.152 0.316 1.126 10
0.145 -0.189 0.884 9
0.148 -0.437 0.658 10
-0.082 -0.333 0.419 10
-0.556 -0.179 -0.121 11
-0.983 0.105 -0.523 9
-1.307 0.56 -0.634 11
-1.512 0.944 -0.709 9
-1.568 0.858 -0.698 10
-1.471 0.384 -0.74 11
-1.204 -0.102 -0.916 9
-0.773 -0.471 -0.997 11
-0.325 -0.794 -1.061 10
0.12 -1.146 -1.248 10
0.35 -1.574 -1.511 9
0.349 -1.873 -1.653 10
0.305 -1.936 -1.358 11
0.102 -1.794 -0.955 10
-0.122 -1.571 -0.601 10
-0.274 -1.388 -0.282 9
-0.41 -1.293 -0.064 10
-0.645 -1.336 0.045 11
-0.934 -1.28 0.221 9
-1.288 -1.057 0.44 11
-1.634 -0.718 0.629 9
-1.712 -0.379 0.712 10
-1.825 -0.048 0.805 11
-1.849 0.214 0.785 10
-1.673 0.313 0.767 10
-1.368 0.36 0.698 9
-1.024 0.444 0.482 10
-0.62 0.443 0.382 11
-0.187 0.407 0.387 10
-0.048 0.384 0.469 10
-0.017 0.449 0.818 9
0.087 0.507 1.254 10
0.302 0.465 1.628 10
0.634 0.358 1.758 10
0.838 0.21 1.936 11
0.995 0.181 1.984 10
1.042 0.231 1.88 10
1.033 0.26 1.718 9
0.938 0.217 1.58 10
0.887 0.109 1.353 11
0.928 0.02 1.089 10
0.956 -0.136 0.782 10
1.05 -0.321 0.565 10
1.091 -0.452 0.38 9
1.094 -0.614 0.066 11
1.071 -0.708 -0.224 9
0.929 -0.809 -0.288 11
0.724 -0.866 -0.388 10
0.505 -0.874 -0.496 10
0.403 -0.968 -0.498 10
0.302 -1.069 -0.483 10
0.263 -1.16 -0.521 10
0.254 -1.268 -0.606 9
0.229 -1.391 -0.632 10
0.283 -1.407 -0.646 11
0.341 -1.413 -0.719 10
0.359 -1.513 -0.794 10
0.34 -1.646 -0.878 10
0.297 -1.723 -0.877 10
0.19 -1.688 -0.815 10
0.068 -1.537 -0.768 9
-0.007 -1.323 -0.872 11
-0.067 -1.113 -1.0 10
0.025 -0.924 -1.09 10
0.152 -0.685 -1.248 10
0.318 -0.427 -1.261 9
0.45 -0.16 -1.264 11
0.43 0.096 -1.138 10
0.275 0.466 -0.895 10
0.015 0.919 -0.555 10
-0.192 1.396 -0.163 10
-0.242 1.705 0.249 10
-0.192 1.724 0.646 9
-0.061 1.663 1.142 11
0.031 1.618 1.596 10
0.028 1.637 1.85 10
0.016 1.714 1.915 10
-0.002 1.715 1.956 9
-0.01 1.699 1.786 11
0.007 1.727 1.556 10
0.058 1.83 1.245 10
0.113 1.854 0.991 10
0.162 1.781 0.772 9
0.266 1.628 0.522 11
0.257 1.474 0.116 10
0.145 1.284 -0.187 10
-0.067 1.164 -0.427 10
-0.353 1.185 -0.471 10
-0.585 1.196 -0.484 10
-0.759 1.094 -0.522 10
-0.864 0.958 -0.581 10
-0.907 0.768 -0.618 9
-0.851 0.501 -0.487 11
-0.748 0.227 -0.257 10
-0.725 -0.079 0.009 10
-0.773 -0.209 0.189 10
-0.834 -0.274 0.411 9
-0.888 -0.368 0.517 11
-0.903 -0.495 0.525 9
-0.735 -0.626 0.55 11
-0.498 -0.856 0.357 10
-0.275 -1.09 0.02 10
-0.144 -1.386 -0.395 10
-0.018 -1.669 -0.752 9
-0.051 -1.83 -1.133 11
-0.114 -1.931 -1.511 10
-0.112 -1.962 -1.696 9
-0.109 -1.809 -1.665 10
-0.089 -1.49 -1.326 11
-0.029 -1.083 -1.098 9
0.163 -0.836 -0.764 10
0.595 -0.873 -0.662 10
0.466 -1.105 -0.492 10
0.058 -1.089 -0.348 10
-0.464 -0.704 -0.244 10
-0.97 -0.28 -0.185 11
-1.364 0.212 -0.072 10
-1.538 0.708 0.038 9
-1.461 1.051 0.275 10
-1.143 1.204 0.687 11
-0.649 1.135 1.084 10
-0.084 0.85 1.381 10
0.371 0.446 1.527 10
0.696 0.073 1.615 9
0.859 -0.166 1.549 11
0.79 -0.278 1.204 10
0.565 -0.233 0.834 10
0.207 -0.037 0.492 10
-0.037 0.207 0.279 9
-0.249 0.393 0.122 11
-0.31 0.509 -0.01 10
-0.193 0.501 -0.087 10
0.11 0.408 -0.087 9
0.392 0.358 -0.061 10
0.525 0.391 -0.167 11
0.61 0.412 -0.279 10
0.532 0.457 -0.312 10
0.418 0.575 -0.272 9
0.308 0.69 -0.227 10
0.165 0.716 -0.075 11
0.071 0.644 0.104 10
0.072 0.407 0.386 9
0.177 0.168 0.675 10
0.254 -0.046 0.806 11
0.315 -0.239 0.811 10
0.326 -0.422 0.696 10
0.311 -0.527 0.419 9
0.245 -0.5 0.05 10
0.169 -0.407 -0.299 10
0.195 -0.288 -0.597 11
0.236 -0.242 -0.778 10
0.385 -0.364 -0.95 9
0.501 -0.647 -1.071 10
0.58 -0.961 -1.093 11
0.6 -1.167 -1.199 10
0.497 -1.335 -1.295 10
0.559 -1.167 -1.044 9
0.641 -0.748 -0.518 10
0.784 -0.432 -0.069 11
0.99 -0.371 0.462 10
